anio,sexo,defunciones_suicidio,nivel_geografico,fuente,nota,fuente_url
2022,Total,8241,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2022,Mujeres,1529,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2022,Hombres,6709,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2022,No especificado,3,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2023,Total,9072,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2023,Mujeres,1760,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2023,Hombres,7310,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2023,No especificado,2,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2024,Total,9051,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2024,Mujeres,1752,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2024,Hombres,7296,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
2024,No especificado,3,Nacional,"SSA/INEGI. Estadísticas de Defunciones Registradas (EDR), 1990-2024",Dato agregado; no contiene información identificable.,https://sc.inegi.org.mx/SIESVIM1/paginas/contenido.jsf?c=231&i=726&s=231&t=24
